,0
12710,0
75962,1
45901,0
47083,0
5854,0
29537,0
112188,1
65507,1
85997,1
106542,1
90217,1
36574,0
77024,1
3265,0
84698,1
8409,0
14369,0
71337,1
12296,0
86827,1
98564,1
65231,1
52787,0
65172,1
2865,0
14226,0
15727,0
75979,1
93566,1
87713,1
52632,0
15419,0
33970,0
19503,0
103740,1
111057,1
2771,0
35655,0
74212,1
43799,0
104227,1
86376,1
8008,0
70449,1
12402,0
110276,1
94355,1
98197,1
82538,1
99613,1
27042,0
48175,0
98146,1
112409,1
106572,1
90028,1
92230,1
102471,1
28626,0
104084,1
72355,1
45073,0
112965,1
32076,0
111700,1
97666,1
48954,0
27320,0
6025,0
63087,1
60773,0
68621,1
101545,1
496,1
77060,1
49623,0
19195,0
63591,1
79508,1
106670,1
29219,0
46681,0
111781,1
1132,0
72546,1
39651,0
102556,1
50452,0
58619,0
111847,1
91114,1
88041,1
77998,1
37987,0
14557,0
87950,1
187,0
35957,0
58038,0
37891,0
112770,1
8102,0
36869,0
91723,1
23429,0
22808,0
75493,1
17943,1
25121,0
91967,1
24948,0
33034,0
73770,1
77613,1
102741,1
12808,0
103164,1
3222,1
92557,1
50555,0
52793,0
70229,1
6405,0
103419,1
68671,1
9277,0
61432,1
72813,1
51712,0
22165,0
64916,1
72266,1
39811,0
71173,1
70438,1
73763,1
15989,0
80244,1
41448,0
49618,0
64611,1
81106,1
93910,1
50016,0
78769,1
107381,1
50023,0
87980,1
35290,0
6917,0
88986,1
95902,1
66033,1
110237,1
12228,0
51154,0
10313,1
109848,1
36492,0
1253,0
69228,1
27509,0
17182,0
84403,1
2379,0
14514,0
56880,0
79420,1
96360,1
99696,1
31885,0
112544,1
113646,1
66960,1
60664,0
13620,0
71833,1
9115,1
99487,1
77172,1
102947,1
11366,0
14522,0
36123,0
56609,0
93895,1
49609,0
107929,1
102994,1
87111,1
84451,1
100308,1
40609,0
23346,0
74799,1
86069,1
19374,0
52860,0
103690,1
18335,0
94269,1
13839,0
21841,1
18211,0
85213,1
17887,0
100356,1
22151,0
52145,0
57772,0
22655,0
34728,0
50332,0
49879,0
49625,0
105970,1
61129,0
39519,0
101939,1
83472,1
59360,0
85321,1
70135,1
36169,0
70612,1
47673,0
58276,0
26999,0
73554,1
58372,0
44644,0
71482,1
41310,0
75359,1
50372,0
104258,1
21502,0
46657,0
22725,1
37103,0
100186,1
12767,0
91162,1
111254,1
27306,0
57828,0
24512,0
47956,0
83145,1
92834,1
2153,0
46478,0
8151,1
26527,0
23572,0
78554,1
107078,1
64057,1
4341,0
26613,0
82679,1
45773,0
25575,0
63351,1
30955,0
85575,1
84577,1
91639,1
19156,1
11923,0
26262,0
91255,1
97551,1
35179,0
17063,0
79567,1
59294,0
40005,0
91267,1
54405,0
91247,1
48025,0
70538,1
47055,0
11086,0
94138,1
65941,1
59829,0
111391,1
25707,0
677,0
98724,1
45644,0
77674,1
103582,1
93053,1
109199,1
66096,1
71399,1
19257,0
45659,0
82087,1
34516,0
5356,0
44462,0
2261,0
62995,1
6192,0
33156,0
43876,0
3350,0
2981,1
15318,0
72227,1
85082,1
30649,1
26918,0
9435,0
59849,0
93409,1
70289,1
26428,0
45445,0
2460,1
69482,1
38139,0
89881,1
31338,0
28039,1
16580,0
109362,1
98855,1
32075,0
68961,1
64996,1
109054,1
63597,1
108134,1
83839,1
98990,1
41108,0
84564,1
15264,0
44569,0
109078,1
11582,1
47416,0
37615,0
61967,1
88442,1
64465,1
21489,0
5344,0
64512,1
88413,1
12187,0
64026,1
91276,1
27655,0
100117,1
68987,1
80323,1
3871,1
12702,0
106786,1
34210,0
51644,0
63567,1
113703,1
7596,0
92891,1
112220,1
42404,0
16110,0
126,0
74207,1
96262,1
93955,1
55487,0
49030,0
72529,1
89606,1
99450,1
105780,1
5309,0
55918,0
64389,1
107914,1
17771,0
27659,0
10326,1
70240,1
75519,1
20336,0
7170,0
42136,0
20459,0
10694,0
10893,1
20749,0
17080,0
36649,0
73780,1
59555,0
60527,0
21242,0
49556,0
92125,1
73250,1
55588,0
37654,0
19615,0
50531,0
45863,0
101190,1
107334,1
49858,0
31053,0
51122,0
105949,1
72525,1
85841,1
95494,1
94650,1
85455,1
110115,1
12581,0
56740,0
101554,1
25340,0
62144,1
63303,1
57789,0
112381,1
82963,1
113969,1
38344,0
41625,0
113035,1
92856,1
72734,1
112705,1
39087,0
79531,1
91835,1
103187,1
76789,1
68146,1
22278,0
36146,0
93332,1
48801,0
25847,0
93000,1
53464,0
105254,1
58883,0
47615,0
35590,0
24575,0
84709,1
108661,1
109691,1
75515,1
89325,1
62427,1
62656,1
20328,1
101635,1
39550,0
78939,1
73440,1
49974,0
14427,0
52166,0
8809,0
103351,1
48514,0
5979,0
63587,1
13162,0
24858,0
49930,0
29060,1
112405,1
38298,0
90188,1
93751,1
67853,1
16572,0
56478,0
94528,1
43926,0
94180,1
109450,1
103592,1
56675,0
91938,1
64804,1
31557,0
15616,0
65244,1
23907,0
29195,1
52216,0
80265,1
94550,1
111889,1
37596,0
87821,1
110984,1
39043,0
1869,0
88069,1
57467,0
96928,1
112324,1
35657,0
93525,1
3522,0
95698,1
36509,0
36133,0
45795,0
28994,0
94539,1
110643,1
67107,1
47760,0
112095,1
13420,1
105590,1
109329,1
69385,1
70773,1
68502,1
84923,1
53781,0
11808,0
57322,0
77575,1
18166,0
68878,1
87047,1
5759,0
80305,1
80733,1
51157,0
21510,0
79638,1
43937,0
44528,0
38237,0
75950,1
63108,1
14716,0
91246,1
38521,0
93280,1
3799,1
85959,1
68780,1
28297,0
94025,1
6160,0
91367,1
6444,0
14163,0
108043,1
13083,1
76060,1
78408,1
15176,0
14819,1
82373,1
91093,1
82586,1
85262,1
48496,0
97060,1
45127,0
62016,1
41879,0
37823,0
28817,0
98299,1
93855,1
102870,1
72939,1
8095,0
3603,0
69239,1
50915,0
82049,1
90541,1
94409,1
61592,1
1863,0
38416,0
78679,1
41478,0
1648,0
55847,0
73091,1
29030,1
64178,1
37058,0
4782,0
27845,1
49616,0
81609,1
103552,1
65688,1
10030,1
59614,0
85643,1
75130,1
98382,1
81408,1
43398,0
1688,0
60935,0
3475,0
64816,1
23868,0
41354,0
28336,0
10360,0
55459,0
44241,0
33597,0
112356,1
13757,0
7829,0
52068,0
78588,1
14513,0
325,0
52227,0
92745,1
33115,0
36456,0
76912,1
41935,0
55797,0
86044,1
91614,1
66745,1
52982,0
38378,0
31218,0
51671,0
11564,0
81512,1
90172,1
78241,1
70150,1
95114,1
68937,1
72294,1
25735,0
84747,1
22942,0
67534,1
31416,0
68379,1
58787,0
81279,1
84491,1
87883,1
11096,0
90034,1
93005,1
20618,0
19135,0
15677,0
57378,0
48746,0
75679,1
96279,1
68739,1
98303,1
95417,1
113305,1
76329,1
37989,0
22301,0
12345,0
40544,0
13488,0
16877,0
29314,0
85229,1
34923,0
25886,1
87536,1
63352,1
28292,0
47375,0
9994,0
60835,0
41228,0
9509,0
100773,1
6602,1
57265,0
49504,0
101933,1
58923,0
113535,1
34729,0
21275,0
66419,1
27350,0
93434,1
94644,1
41616,0
77877,1
93825,1
77081,1
97186,1
83820,1
69457,1
47849,0
76476,1
23474,0
42015,0
11049,0
72169,1
2860,0
60329,0
106259,1
14965,0
81953,1
109619,1
98709,1
23365,0
6029,0
108826,1
32524,0
56266,0
55251,0
101342,1
73283,1
92805,1
51882,0
78877,1
5881,0
3474,0
25268,0
68273,1
43498,0
15701,0
56306,0
94132,1
107834,1
17126,0
64786,1
58897,0
111903,1
56639,0
29028,0
3239,0
87622,1
4090,0
8961,1
51777,0
24181,0
31040,0
83904,1
74924,1
27565,0
89028,1
1009,0
26324,0
63849,1
106807,1
103984,1
55865,0
46687,0
70585,1
31183,1
23515,1
2126,0
58530,0
98275,1
80241,1
61614,1
81962,1
60913,0
50347,0
20124,0
44400,0
94593,1
89780,1
11498,0
75744,1
32034,0
108324,1
19219,0
31484,0
28705,0
83638,1
77151,1
70050,1
14772,0
20448,0
37325,0
92698,1
44832,0
51877,0
4446,0
30411,0
98770,1
45996,0
5028,0
34232,0
93634,1
27550,0
44282,0
94194,1
23665,1
40017,0
63506,1
101668,1
12131,0
106099,1
31813,0
38788,0
37219,0
38706,0
3578,0
106720,1
49133,0
37929,0
13611,0
14635,0
52064,0
67183,1
13706,0
64076,1
81111,1
19100,0
43672,0
103150,1
44677,0
23469,0
11565,1
23964,0
18230,0
3111,0
110973,1
40283,0
39143,0
98839,1
55455,0
50805,0
13531,0
20074,0
31312,0
40786,0
58808,0
93565,1
13382,0
44602,0
64484,1
11820,0
87408,1
8160,0
25408,0
112307,1
21916,0
11261,0
29031,0
18970,0
89140,1
53275,0
82015,1
74582,1
48158,0
74407,1
31837,0
23272,0
3630,0
36584,0
107425,1
50804,0
40633,0
72059,1
108019,1
71477,1
55932,0
57394,0
9767,0
73088,1
112119,1
94268,1
107639,1
93338,1
51421,0
84847,1
27200,1
85543,1
104273,1
20890,0
4923,0
56130,0
39746,0
87718,1
47524,0
49716,0
15866,0
94638,1
91924,1
70753,1
62198,1
3253,0
51163,0
9321,0
62929,1
11252,0
66055,1
4752,0
78888,1
91949,1
93146,1
6938,0
7394,0
65235,1
63389,1
103228,1
95860,1
87313,1
67736,1
60448,0
33197,0
97955,1
59246,0
70904,1
84255,1
107567,1
108473,1
24761,0
46025,0
100621,1
79646,1
13397,0
49753,0
58345,0
102933,1
5815,0
78387,1
83282,1
25827,0
14091,0
69225,1
95274,1
111618,1
102584,1
107325,1
37229,0
67496,1
67069,1
90097,1
52069,0
71887,1
105907,1
111255,1
88148,1
12323,0
319,0
63138,1
67701,1
16760,0
34387,0
34429,0
100811,1
112937,1
18304,0
44054,0
5158,0
29923,0
67639,1
91010,1
88503,1
106509,1
76205,1
57873,0
71769,1
13777,0
40154,0
82446,1
96247,1
94405,1
74588,1
76049,1
1748,0
22979,0
8027,0
36790,0
106245,1
35023,0
71393,1
16132,0
41117,0
10123,0
105501,1
100014,1
101958,1
15954,1
46634,0
77234,1
4336,0
108097,1
103023,1
57616,0
23450,0
68112,1
15805,0
103455,1
110572,1
41169,0
2051,0
103225,1
42360,0
78585,1
90722,1
14745,0
76173,1
40382,0
92894,1
31330,0
111918,1
16020,0
56784,0
44851,0
6617,0
101219,1
230,0
74237,1
1994,0
89270,1
67989,1
54493,0
95135,1
93184,1
51078,0
4291,0
96017,1
52884,0
79569,1
82780,1
75528,1
67097,1
110446,1
24185,0
94947,1
6872,0
3433,0
49736,0
36060,0
13728,0
59386,0
10060,1
104222,1
24541,0
111301,1
45929,0
84799,1
109787,1
106586,1
46295,0
12755,1
96160,1
41957,0
63838,1
48668,0
29099,0
2142,1
29024,0
96303,1
8230,0
96129,1
79056,1
6870,0
18520,0
25566,0
53728,0
103795,1
8940,0
101129,1
3928,0
20493,0
9037,0
70072,1
89731,1
69645,1
32754,0
18399,0
110590,1
83159,1
6015,0
29033,0
78142,1
88540,1
9500,1
59533,0
51449,0
21887,0
45806,0
45232,0
92283,1
11409,0
81998,1
20216,0
25080,1
81766,1
42042,0
6313,0
64745,1
21537,0
34888,0
77488,1
87942,1
97092,1
32937,0
81376,1
49353,0
55819,0
105781,1
13978,0
59249,0
59125,0
60647,0
31577,0
69684,1
112235,1
98317,1
36551,0
12501,0
105941,1
7522,0
108900,1
89366,1
85639,1
98124,1
84937,1
13472,0
102553,1
12983,0
65264,1
42781,0
64749,1
28850,0
88706,1
37306,0
87994,1
16095,0
7616,1
65618,1
52740,0
35158,0
47832,0
45527,0
91158,1
55189,0
113424,1
21777,1
113339,1
47217,0
105723,1
84588,1
11857,0
30301,0
87672,1
55781,0
29711,1
111976,1
82444,1
73052,1
71753,1
38737,0
61922,1
40341,0
31679,0
80959,1
66252,1
32769,0
9735,1
87815,1
109045,1
36067,0
9468,0
57792,0
6603,0
78697,1
94700,1
99042,1
93076,1
38673,0
55240,0
94496,1
108780,1
88723,1
101414,1
604,0
63828,1
70307,1
88844,1
61136,0
45548,0
78195,1
66891,1
90782,1
97491,1
43046,0
7848,0
36273,0
12046,0
70107,1
44845,0
104906,1
99837,1
35235,0
42041,0
34129,0
96648,1
61813,1
6349,0
41602,0
8522,0
8983,0
96581,1
88661,1
83745,1
77435,1
89910,1
92216,1
26710,0
25395,0
71951,1
99162,1
108787,1
15301,0
15210,0
62391,1
96780,1
62298,1
91559,1
53517,0
43200,0
102511,1
12452,0
42102,0
36280,0
44457,0
38534,0
71114,1
94982,1
94861,1
81807,1
28623,0
21922,0
14358,0
73231,1
107391,1
88010,1
53318,0
68566,1
65939,1
9638,0
4963,0
46690,0
65798,1
89403,1
145,0
83206,1
88205,1
50002,0
16640,1
91907,1
36791,0
5972,0
21198,0
68616,1
31329,0
52435,0
61286,0
16786,0
111547,1
84026,1
42620,0
14868,0
58470,0
5558,1
108955,1
31568,0
345,0
19529,0
84671,1
53665,0
99327,1
29354,0
32170,0
47764,0
60632,0
4569,0
3834,0
61626,1
65557,1
103939,1
51550,0
48916,0
34174,0
23486,1
19022,0
77900,1
2291,0
12545,0
9831,0
22174,0
106058,1
14926,0
32055,0
13499,0
93781,1
89701,1
10288,0
70600,1
43037,0
47786,0
83706,1
72298,1
34947,0
78181,1
31518,0
78749,1
84633,1
7923,0
69062,1
108703,1
6695,0
34239,0
92854,1
14735,0
91087,1
51835,0
79711,1
69545,1
13834,1
26027,0
52750,0
37611,0
81101,1
1426,0
59233,0
40879,0
108813,1
81064,1
11759,0
14314,1
40155,0
2512,0
15477,0
59787,0
55315,0
53706,0
537,0
68266,1
107464,1
41445,0
47891,0
29343,0
90398,1
34337,0
39898,0
28606,1
33865,0
9583,0
103067,1
90901,1
66433,1
92601,1
29880,0
67910,1
72723,1
54294,0
26687,0
89139,1
111054,1
78054,1
52076,0
13752,0
32857,0
47461,0
10068,0
10500,0
44962,0
19753,0
87025,1
54531,0
58072,0
100170,1
3546,0
83936,1
36494,0
63480,1
47837,0
97321,1
96272,1
87037,1
50164,0
97473,1
73515,1
38266,0
75010,1
111603,1
82378,1
94417,1
98066,1
81959,1
28499,0
113896,1
23647,0
5564,0
7111,0
64981,1
25189,0
51197,0
27225,1
84787,1
21403,0
18341,0
45634,0
75562,1
8424,0
50838,0
105923,1
55620,0
87771,1
56796,0
50696,0
62975,1
8218,0
89631,1
103520,1
23924,1
91453,1
25485,1
3761,0
86743,1
29408,0
41714,0
42860,0
93142,1
88276,1
8269,0
25492,1
93032,1
11658,0
42739,0
63601,1
33494,0
57964,0
2184,0
69518,1
4993,0
76759,1
112098,1
26970,0
87043,1
7243,0
30959,0
41174,0
104070,1
89871,1
1391,0
112706,1
72587,1
75819,1
81945,1
60902,0
77282,1
76895,1
44517,0
44225,0
87612,1
77003,1
46424,0
71743,1
99958,1
28233,0
42101,0
62349,1
104728,1
63155,1
49700,0
22188,0
48621,0
80660,1
56165,0
77934,1
92704,1
83340,1
81614,1
47334,0
1444,0
2820,0
105831,1
67624,1
46619,0
2565,0
70991,1
3791,0
66611,1
49226,0
106476,1
16602,0
26719,0
58216,0
26665,0
58144,0
46222,0
18476,1
62217,1
17137,0
64248,1
31304,0
77166,1
94472,1
57543,0
100812,1
22472,0
109860,1
37127,0
113706,1
85179,1
107216,1
99865,1
92991,1
37931,0
62810,1
18208,0
112841,1
75352,1
112078,1
70546,1
110883,1
89660,1
520,0
20093,1
4042,0
54292,0
58177,0
93350,1
108582,1
31163,0
41037,0
8140,0
110915,1
28937,0
37185,0
98198,1
94139,1
74470,1
23680,0
35709,0
30063,0
15786,0
15726,0
45762,0
40882,0
61309,0
68285,1
73643,1
84264,1
57983,0
19654,0
18287,1
43140,0
46852,0
24287,0
70423,1
63331,1
105541,1
81222,1
79227,1
50432,0
11844,0
7177,0
55565,0
107788,1
79168,1
104947,1
24510,0
59414,0
6114,0
97654,1
23806,0
62035,1
114112,1
96592,1
58021,0
35355,0
20032,0
98700,1
78523,1
42517,0
20511,0
32065,0
58124,0
75364,1
67835,1
78351,1
33012,0
98496,1
15472,0
113120,1
43816,0
42602,0
68867,1
33022,0
75666,1
102824,1
45578,0
28982,1
49278,0
86477,1
15065,1
57867,0
79817,1
41431,0
87633,1
70251,1
41906,0
68713,1
73158,1
17823,0
91026,1
111764,1
30349,0
56286,0
24065,0
88500,1
12008,0
59207,0
112527,1
10507,0
112168,1
59428,0
107740,1
61459,1
83025,1
57026,0
100195,1
94104,1
33794,0
69633,1
47475,0
18489,0
82497,1
2054,0
22822,1
59556,0
109403,1
111369,1
27278,1
78037,1
11848,0
94036,1
18533,0
61128,0
59320,0
72372,1
77813,1
60736,0
68296,1
44640,0
101098,1
48657,0
78091,1
32707,0
39275,0
31689,0
80054,1
110536,1
108205,1
80555,1
82066,1
44343,0
57133,0
88806,1
75721,1
55269,0
57702,0
72018,1
69812,1
98605,1
60658,0
92538,1
34101,0
60529,0
34944,0
94946,1
45667,0
95776,1
9226,0
53118,0
30503,0
46094,0
54366,0
58496,0
77669,1
31852,0
45357,0
36814,0
94647,1
20214,0
99601,1
97135,1
84184,1
66799,1
83284,1
18500,0
14015,0
45470,0
566,1
28917,0
108520,1
90767,1
76101,1
72469,1
38432,0
14863,0
53832,0
95165,1
72480,1
72672,1
7600,1
103997,1
22565,0
100193,1
103652,1
105326,1
38624,0
88549,1
88201,1
62571,1
79585,1
13198,0
80899,1
33735,0
66204,1
67241,1
93060,1
39657,0
14310,1
10976,0
37653,0
26512,0
76832,1
8832,1
74541,1
7511,0
75851,1
57293,0
74295,1
63045,1
65379,1
30828,1
52152,0
8921,0
42249,0
68356,1
105910,1
100759,1
4325,0
23911,0
5689,0
102412,1
61207,0
109587,1
106659,1
35512,0
13633,0
63273,1
15295,0
39563,0
113112,1
72755,1
88102,1
100473,1
102205,1
50968,0
82232,1
72313,1
88285,1
4399,0
4523,0
55054,0
80372,1
78190,1
108183,1
5808,0
57156,0
88684,1
77487,1
94244,1
46227,0
3374,1
104370,1
3262,0
228,0
44287,0
112116,1
109279,1
56991,0
55964,0
7364,0
56953,0
26124,0
92950,1
35053,0
72706,1
98193,1
7076,0
66043,1
38536,0
47298,0
4362,1
16149,0
4233,0
99593,1
16293,0
13300,1
42304,0
113500,1
33103,0
17522,0
538,0
21419,0
86849,1
28883,0
32456,0
91945,1
25987,0
9149,0
99898,1
21109,0
86684,1
23552,0
60141,0
79429,1
73581,1
57208,0
97623,1
51905,0
51170,0
71332,1
100127,1
23202,0
71680,1
74044,1
16465,0
81440,1
113980,1
12551,0
21782,0
33087,0
4154,1
84050,1
107611,1
109497,1
114098,1
75701,1
111401,1
59217,0
49411,0
7610,0
25066,0
73431,1
25304,0
60013,0
92602,1
63161,1
108552,1
6815,0
21250,0
57473,0
74521,1
66819,1
90045,1
45686,0
17306,0
10115,0
20270,0
87084,1
72112,1
80290,1
85029,1
39785,0
98513,1
106857,1
73742,1
41978,0
100062,1
108569,1
69253,1
25070,0
28133,1
9560,1
86088,1
8406,1
56786,0
2626,1
60485,0
24984,0
80629,1
31237,0
63527,1
38684,0
58333,0
49186,0
15993,0
46865,0
41363,0
97682,1
96418,1
25319,0
4777,0
414,0
61141,0
87824,1
113072,1
66236,1
76425,1
106982,1
27346,1
9512,1
84444,1
10425,1
63404,1
70141,1
77446,1
107322,1
113908,1
22794,0
92308,1
96593,1
78605,1
28479,0
13726,0
104167,1
88091,1
96852,1
7777,0
112653,1
78302,1
85434,1
68474,1
41746,0
61724,1
67665,1
54154,0
5933,0
83087,1
38988,0
81607,1
109564,1
83778,1
54887,0
110380,1
54860,0
102229,1
81453,1
71478,1
1288,0
90817,1
64748,1
49591,0
45429,0
31975,0
14110,1
96462,1
71814,1
55731,0
73441,1
39111,0
106684,1
39727,0
25977,1
44423,0
10936,0
54748,0
85487,1
100118,1
34422,0
106956,1
62613,1
16681,0
73857,1
75080,1
59730,0
96519,1
892,0
63390,1
46308,0
99968,1
90484,1
111989,1
2070,0
49362,0
47430,0
41862,0
61959,1
16081,1
44579,0
89907,1
28222,0
73782,1
24618,0
110255,1
44404,0
32708,0
3946,0
91113,1
101499,1
69854,1
78774,1
61606,1
40189,0
96725,1
5306,0
28564,0
48687,0
6901,0
37094,0
96771,1
12312,0
105695,1
51501,0
113957,1
2775,0
64778,1
103658,1
80035,1
47197,0
20804,0
93432,1
99990,1
47834,0
47935,0
32428,0
49746,0
44142,0
33141,0
11399,0
2361,0
28365,0
81405,1
23849,0
15842,0
309,0
53277,0
70485,1
78513,1
89839,1
75945,1
28885,0
16966,0
35105,0
55117,0
59403,0
86758,1
76404,1
61575,1
6208,0
35447,0
79816,1
66775,1
8558,0
59103,0
79636,1
88463,1
10293,0
76291,1
15755,0
63332,1
38377,0
27960,0
29388,0
103953,1
99716,1
100685,1
59156,0
46127,0
88935,1
9152,0
6424,0
42961,0
43395,0
57528,0
52091,0
45563,0
69833,1
38754,0
3198,0
82908,1
23261,1
111692,1
57247,0
89769,1
44988,0
32011,0
77006,1
34458,0
103763,1
3122,0
79797,1
10564,1
82990,1
83312,1
109682,1
73372,1
81387,1
61879,1
11356,0
104917,1
36732,0
33138,0
34385,0
89672,1
71196,1
54251,0
71616,1
42930,0
82993,1
52368,0
3166,0
36319,0
70031,1
78898,1
47328,0
29883,0
42608,0
48134,0
21026,0
108805,1
103637,1
47373,0
50407,0
56403,0
33379,0
77606,1
82865,1
32628,0
77491,1
18686,0
48116,0
102201,1
61153,0
40628,0
8585,0
54243,0
65139,1
80228,1
75637,1
20414,0
20791,0
36252,0
4996,1
48643,0
52857,0
108973,1
19778,1
110901,1
100355,1
79644,1
74238,1
8867,1
46607,0
109256,1
38375,0
22406,0
70979,1
75728,1
14761,0
11305,0
53154,0
88336,1
50210,0
89457,1
28114,0
94876,1
10204,0
64376,1
22692,0
39755,0
43564,0
14760,0
75881,1
35521,0
10180,0
96934,1
106425,1
17319,0
69431,1
27068,0
2659,1
87028,1
50748,0
61565,1
8284,0
78916,1
34892,0
71395,1
83625,1
68436,1
5342,0
96968,1
19058,1
69066,1
13070,0
12286,0
56791,0
38929,0
52552,0
42866,0
91077,1
13809,0
34639,0
41989,0
103667,1
85759,1
62977,1
5859,0
20498,0
101672,1
70321,1
46714,0
92143,1
18902,0
83765,1
66116,1
71233,1
28959,0
107831,1
84200,1
81854,1
14058,1
41347,0
112297,1
68639,1
56238,0
35780,0
56430,0
26897,1
22932,0
63235,1
31675,0
98890,1
50184,0
60521,0
64896,1
96286,1
43342,0
73478,1
59433,0
107061,1
9112,0
38618,0
39159,0
59400,0
16954,0
50510,0
42059,0
53819,0
68972,1
91365,1
31749,0
95317,1
15985,0
31170,0
36518,0
21821,0
29376,0
100029,1
15998,0
41121,0
89840,1
81567,1
55505,0
38715,0
43731,0
23213,0
73764,1
47660,0
92271,1
55749,0
105439,1
100150,1
110344,1
12169,0
88737,1
23128,0
23817,1
107540,1
45013,0
73472,1
64844,1
17524,0
56360,0
68962,1
95045,1
6183,0
28921,0
35425,0
64625,1
106927,1
106164,1
33913,0
64843,1
25695,0
62347,1
99249,1
35238,0
107155,1
12891,0
5519,0
22966,0
27516,1
77710,1
40888,0
16977,0
43640,0
63417,1
75159,1
99026,1
78595,1
3644,0
60368,0
95138,1
101935,1
29054,0
9820,1
96030,1
97665,1
98930,1
49718,0
29951,0
47109,0
44944,0
46717,0
25190,0
80376,1
8661,0
15096,0
91190,1
93639,1
36288,0
2438,0
73710,1
63381,1
94172,1
23544,0
37114,0
32514,0
33282,0
113947,1
107086,1
35284,0
48411,0
102216,1
59384,0
35850,0
86629,1
97806,1
90719,1
102617,1
52153,0
101495,1
8418,0
10332,1
84710,1
23062,0
4475,0
36723,0
86786,1
102249,1
99661,1
37511,0
65825,1
29823,0
16983,0
14191,0
29415,0
14759,0
5647,0
109940,1
90816,1
61997,1
98499,1
7052,0
38877,0
7622,0
53039,0
68301,1
65743,1
47603,0
1137,0
56522,0
4397,0
20048,0
55109,0
92610,1
32276,0
65790,1
21736,0
95397,1
6126,0
106522,1
46154,0
18447,0
11628,0
47280,0
22884,0
54300,0
59641,0
74653,1
91213,1
34706,0
67648,1
108321,1
102825,1
55512,0
83458,1
16150,0
54969,0
14137,0
65736,1
71705,1
36665,0
23979,1
110747,1
104233,1
86450,1
24768,0
95150,1
96967,1
101448,1
88079,1
110833,1
52655,0
46858,0
97479,1
90041,1
107193,1
105531,1
4045,1
18872,0
95793,1
49029,0
19802,1
67738,1
10151,0
73394,1
88369,1
33727,0
43655,0
48058,0
6631,1
12206,0
21907,0
1878,0
58999,0
112206,1
7994,0
84822,1
44132,0
34187,0
58507,0
89914,1
15466,1
47836,0
102311,1
84051,1
101485,1
29915,0
15672,0
103183,1
60882,0
9549,0
52271,0
104266,1
51979,0
108558,1
27906,0
